date,predicted_sales,forecast_day
2017-08-16,858367.0497264457,1
2017-08-17,791631.0097335955,2
2017-08-18,822092.0499741982,3
2017-08-19,850472.470420947,4
2017-08-20,931011.5670784878,5
2017-08-21,864794.8651599501,6
2017-08-22,836647.4194546909,7
2017-08-23,842342.3641682442,8
2017-08-24,788494.0661611477,9
2017-08-25,819804.163051966,10
2017-08-26,845499.6684814093,11
2017-08-27,967046.6012892397,12
2017-08-28,872409.5981393046,13
2017-08-29,878512.5801749134,14
2017-08-30,886840.4149859847,15
2017-08-31,839261.2159182583,16
2017-09-01,859981.1081382381,17
2017-09-02,864904.9085265534,18
2017-09-03,958093.4367448856,19
2017-09-04,882328.1523461591,20
2017-09-05,871343.1876123168,21
2017-09-06,856621.1324928924,22
2017-09-07,791990.4654269275,23
2017-09-08,815337.9687408783,24
2017-09-09,838183.1114704281,25
2017-09-10,923170.324993424,26
2017-09-11,860146.613900462,27
2017-09-12,839098.0813781138,28
2017-09-13,847925.163137924,29
2017-09-14,809777.2058664872,30
